Company,Product_Type,Production_Year,Product_Weight_kg,Greenhouse_Gas_Emissions(kg_CO2e),Water_Consumption(L),Energy_Consumption(kWh),Waste_Generation(kg),Sales_Revenue($),Renewable_Energy_Use(%),Recycled_Material_Use(%),Energy_Efficiency_Score,Strategy_Cost_USD,Expected_CO2_Reduction(kg),ROI_Months,Regulation_Risk,Consumer_Trend_Score,Opportunity_Notes,Polyester,Cotton,Acrylic,Recycled Polyester,Viscose,Nylon
Stradivarius,Skirt,2023,0.71,3.63,1357,6.11,0.069,59.15,55,0,87,5380,2.33,18,High,93,Improving sustainability increases customer loyalty.,67,33,0,0,0,0
Zara,Sweater,2023,0.65,4.16,1275,3.94,0.149,58.86,1,0,85,2561,1.67,6,Low,73,Improving sustainability increases customer loyalty.,100,0,0,0,0,0
Massimo Dutti,Blouse,2023,0.58,5.22,303,2.26,0.087,47.86,42,0,66,3960,1.74,21,Medium,64,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Massimo Dutti,Jacket,2023,0.55,4.95,1369,5.49,0.126,45.49,37,0,95,3197,1.92,16,Medium,84,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Bershka,Hoodie,2023,0.67,1.88,155,6.21,0.055,52.29,10,20,92,4204,2.4,9,High,79,Improving sustainability increases customer loyalty.,5.2,73.9,0,20.9,0,0
Zara,Jeans,2023,0.82,2.94,2036,4.17,0.06,32.25,14,33,69,3190,2.87,6,Medium,80,Improving sustainability increases customer loyalty.,24.6,0,0,33.2,42.2,0
Zara,Shorts,2023,0.17,0.92,1838,4,0.143,30,30,18,80,3006,1,10,Low,83,Improving sustainability increases customer loyalty.,72.5,0,0,18,9.5,0
Oysho,Jacket,2023,0.31,2.17,2482,3.78,0.148,24.56,55,0,85,5681,1.25,15,Medium,69,Improving sustainability increases customer loyalty.,77.4,0,22.6,0,0,0
Stradivarius,Shorts,2023,0.37,1.44,1273,5.1,0.123,14.77,54,73,68,4768,2.86,24,Medium,79,Improving sustainability increases customer loyalty.,26.1,0,0,73.9,0,0
Bershka,Shorts,2023,0.23,0.57,754,6.69,0.109,64.43,67,0,93,4851,1.43,24,Medium,83,Improving sustainability increases customer loyalty.,0,71.1,0,0,28.9,0
Stradivarius,Blouse,2023,0.74,4.04,1490,2.49,0.13,21.59,38,0,74,1869,0.69,19,Low,65,Improving sustainability increases customer loyalty.,0,54.5,45.5,0,0,0
Oysho,Blouse,2023,0.15,1.14,2270,6.75,0.118,42.22,20,0,92,5474,1.84,13,Low,74,Improving sustainability increases customer loyalty.,57,0,0,0,4.9,38.1
Stradivarius,Hoodie,2023,0.21,1.98,2949,4.83,0.091,18.66,7,0,79,2261,1.24,11,High,84,Improving sustainability increases customer loyalty.,0,7.8,0,0,0,92.2
Oysho,Dress,2023,0.32,2.02,452,3.18,0.139,62.64,2,0,77,4343,1.44,22,Low,92,Improving sustainability increases customer loyalty.,0,48.7,4.5,0,0,46.8
Pull & Bear,Top,2023,0.87,2.09,1580,6.99,0.049,78.85,14,0,74,2351,1.7,18,High,70,Improving sustainability increases customer loyalty.,0,0,0,0,100,0
Bershka,Sweater,2023,0.4,1.6,1235,4.8,0.077,65.47,16,0,57,5811,1.31,14,Medium,82,Improving sustainability increases customer loyalty.,0,44.9,23.5,0,31.6,0
Stradivarius,Top,2023,0.39,2.26,538,6.19,0.143,35.95,24,0,90,4941,1.23,15,Medium,78,Improving sustainability increases customer loyalty.,74.4,0,0,0,20,5.6
Stradivarius,Dress,2023,0.71,6.77,1339,5.28,0.107,58.23,8,0,73,2242,2.59,22,High,91,Improving sustainability increases customer loyalty.,0,6.2,0,0,0,93.8
Stradivarius,Jacket,2023,0.66,1.58,1509,4.67,0.105,65.92,49,0,88,5133,0.34,6,Medium,64,Improving sustainability increases customer loyalty.,0,0,0,0,100,0
Stradivarius,Skirt,2023,0.56,2.89,495,4.9,0.117,36.47,5,0,81,2938,2.44,19,High,80,Improving sustainability increases customer loyalty.,0,16.9,41.6,0,41.4,0
Stradivarius,Skirt,2023,0.25,2.17,2820,2.76,0.122,59.8,14,0,93,1828,0.4,13,Medium,93,Improving sustainability increases customer loyalty.,12.6,0,87.4,0,0,0
Pull & Bear,Blouse,2023,0.34,1.88,141,4.33,0.054,28.92,39,0,66,2984,1.52,20,High,73,Improving sustainability increases customer loyalty.,51.4,32.9,15.6,0,0,0
Oysho,Shorts,2023,0.33,1.63,1064,3.61,0.067,27.94,70,45,93,5508,1.39,19,High,85,Improving sustainability increases customer loyalty.,52.8,0,2.2,45,0,0
Massimo Dutti,T-Shirt,2023,0.56,5.22,1860,6.12,0.038,45.84,76,9,93,1005,1.75,23,Low,66,Improving sustainability increases customer loyalty.,0,0,0,9.7,0,90.3
Massimo Dutti,T-Shirt,2023,0.84,3.14,2066,6.96,0.091,74.63,43,0,79,1741,2.04,6,High,94,Improving sustainability increases customer loyalty.,33.5,0,0,0,66.5,0
Pull & Bear,Skirt,2023,0.16,0.74,2176,4.98,0.145,18.22,69,77,65,2760,2.51,15,Medium,61,Improving sustainability increases customer loyalty.,0,0,0,77,0,23
Stradivarius,Jeans,2023,0.17,1.25,2864,6.4,0.089,66.62,78,14,67,1361,2.64,15,High,74,Improving sustainability increases customer loyalty.,30.3,0,55.7,14.1,0,0
Zara,Dress,2023,0.31,2.75,2334,2.41,0.126,41.1,52,0,71,1470,1.34,10,Low,64,Improving sustainability increases customer loyalty.,0,0,47.4,0,8.7,43.9
Oysho,Skirt,2023,0.26,2.6,628,5.03,0.115,50.05,41,0,84,5997,0.78,19,High,73,Improving sustainability increases customer loyalty.,0,0,0,0,0,100
Oysho,Shorts,2023,0.79,7.45,1998,4.85,0.141,75.92,52,0,58,1777,2.57,13,Low,95,Improving sustainability increases customer loyalty.,8.1,0,27.4,0,0,64.4
Pull & Bear,Skirt,2023,0.29,1.24,625,3.49,0.07,51.77,0,0,91,2719,2.17,11,Low,69,Improving sustainability increases customer loyalty.,0,49.2,0,0,26.8,24
Oysho,Hoodie,2023,0.39,0.94,1865,5.81,0.074,18.13,51,0,63,1759,1.74,24,Low,67,Improving sustainability increases customer loyalty.,0,0,0,0,100,0
Pull & Bear,Jeans,2023,0.36,3.6,2752,5.15,0.04,43.68,64,0,70,5152,1.93,18,High,89,Improving sustainability increases customer loyalty.,0,0,0,0,0,100
Oysho,Jacket,2023,0.79,6.35,2905,2.94,0.127,53.43,58,0,79,3955,2.49,10,High,71,Improving sustainability increases customer loyalty.,42,0,44.6,0,0,13.4
Oysho,Pants,2023,0.55,4.95,451,3.54,0.081,39.43,43,0,93,5937,2.22,17,Medium,65,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Bershka,Pants,2023,0.67,4.08,1568,2.35,0.063,71.61,4,0,87,4760,2.71,13,High,61,Improving sustainability increases customer loyalty.,25.9,0,40.3,0,33.8,0
Bershka,Sweater,2023,0.31,1.65,2601,2.28,0.086,13.06,17,26,74,3280,0.8,19,Low,76,Improving sustainability increases customer loyalty.,0,0,41.8,26.2,31.9,0
Oysho,Blouse,2023,0.44,1.11,391,4.33,0.069,76.81,37,19,86,1236,2.99,20,High,85,Improving sustainability increases customer loyalty.,0,0,0,19.2,80.8,0
Zara,Jacket,2023,0.59,1.57,2729,2.41,0.069,10.22,35,36,82,3587,2.26,7,Low,77,Improving sustainability increases customer loyalty.,0,0,0,36,63.6,0.5
